Year,School,Conf,Wins,Losses,Win Pct,Conf Wins,Conf Losses,Conf Win Pct,Off PPG,Def PPG,SRS,SOS,AP Pre,AP High,AP Rank,Football Total Operating Expenses
2018,Toledo,MAC,7,6,0.538,5,3,0.625,40.4,30.5,-0.7,-5,,,,"$11,696,094"
2019,Toledo,MAC,6,6,0.5,3,5,0.375,27.3,32.2,-8.76,-5.26,,,,"$9,966,203"
2020,Toledo,MAC,4,2,0.667,4,2,0.667,35,24.3,12.44,3.94,,,,"$8,181,216"
2021,Toledo,MAC,7,6,0.538,5,3,0.625,33.4,21.8,0.28,-6.34,,,,"$10,959,679"
2022,Toledo,MAC,9,5,0.643,5,3,0.625,31.3,25.1,-0.4,-6.75,,,,"$11,776,278"
2020,Troy,Sun Belt,5,6,0.455,3,4,0.429,27.4,25.7,-2.24,-4.33,,,,"$8,294,767"
2021,Troy,Sun Belt,5,7,0.417,3,5,0.375,22.8,26.1,-7.53,-4.03,,,,"$10,648,072"
2022,Troy,Sun Belt,12,2,0.857,7,1,0.875,25.6,17.1,6.42,-2.51,,19,19,"$11,024,629"
2017,UAB,CUSA,8,5,0.615,6,2,0.75,27.8,25.6,-8.08,-10.62,,,,"$11,274,932"
2018,UAB,CUSA,11,3,0.786,7,1,0.875,29.9,17,1.99,-6.44,,,,"$11,725,395"
2019,UAB,CUSA,9,5,0.643,6,2,0.75,23.1,21.6,-4.6,-7.88,,,,"$12,179,203"
2020,UAB,CUSA,6,3,0.667,3,1,0.75,28.4,21.4,1.28,-4.28,,,,"$11,775,827"
2022,UAB,CUSA,7,6,0.538,4,4,0.5,30.1,23.2,-0.98,-5.13,,,,"$15,268,692"
2017,UCF,American,13,0,1,8,0,1,48.2,25.3,16.9,-0.8,,6,6,"$26,815,908"
2018,UCF,American,12,1,0.923,8,0,1,43.2,22.7,14.53,-2.78,21,7,11,"$27,120,656"
2019,UCF,American,10,3,0.769,6,2,0.75,43.4,23,11.59,-1.87,17,15,24,"$24,355,519"
2020,UCF,American,6,4,0.6,5,3,0.625,42.2,33.2,5.92,-1.78,21,11,,"$23,728,305"
2021,UCF,American,9,4,0.692,5,3,0.625,31.9,24.5,3.07,-2.08,,,,"$22,219,548"
2022,UCF,American,9,5,0.643,6,2,0.75,32.9,23.6,5.74,0.74,,17,,"$30,098,692"
2017,UCLA,Pac-12,6,7,0.462,4,5,0.444,32.5,36.6,0.64,4.41,,25,,"$37,702,515"
2018,UCLA,Pac-12,3,9,0.25,3,6,0.333,24.6,34.1,-2.19,6.73,,,,"$35,463,069"
2019,UCLA,Pac-12,4,8,0.333,4,5,0.444,26.7,34.8,-0.55,4.95,,,,"$32,311,478"
2020,UCLA,Pac-12,3,4,0.429,3,4,0.429,35.4,30.7,-0.11,-2.97,,,,"$25,941,456"
2021,UCLA,Pac-12,8,4,0.667,6,3,0.667,36.5,26.8,7.25,-0.25,,13,,"$36,989,741"
2022,UCLA,Pac-12,9,4,0.692,6,3,0.667,39.2,29,8.88,0.73,,9,21,"$44,181,569"
2017,UNLV,MWC,5,7,0.417,4,4,0.5,28.8,31.8,-7.92,-5.42,,,,"$10,120,375"
2018,UNLV,MWC,4,8,0.333,2,6,0.25,28.8,37.3,-9.98,-4.48,,,,"$10,174,916"
2019,UNLV,MWC,4,8,0.333,2,6,0.25,24.2,33,-11.55,-3.97,,,,"$12,950,125"
2020,UNLV,MWC,0,6,0,0,6,0,17.3,38,-20.68,-1.84,,,,"$12,255,673"
2021,UNLV,MWC,2,10,0.167,2,6,0.25,20.8,32.8,-9.02,0.32,,,,"$13,775,798"
2022,UNLV,MWC,5,7,0.417,3,5,0.375,26.3,28.5,-7.4,-5.48,,,,"$18,678,052"
2017,Utah,Pac-12,7,6,0.538,3,6,0.333,29.5,23.2,5.07,1.22,,20,,"$29,808,363"
2018,Utah,Pac-12,9,5,0.643,6,3,0.667,28.1,19.4,9.91,3.06,,16,,"$31,061,561"
2019,Utah,Pac-12,11,3,0.786,8,1,0.889,32.3,15,14.86,2.29,14,5,16,"$33,317,718"
2020,Utah,Pac-12,3,2,0.6,3,2,0.6,30.2,26,0.67,-2.93,22,22,,"$22,975,592"
2021,Utah,Pac-12,10,4,0.714,8,1,0.889,36.1,22.6,12.26,1.62,24,10,12,"$40,071,987"
2022,Utah,Pac-12,10,4,0.714,7,2,0.778,38.6,21.4,14.8,3.09,7,7,10,"$51,843,385"
2017,Utah State,MWC,6,7,0.462,4,4,0.5,30.2,26.9,-2.18,-3.72,,,,"$12,069,847"
2018,Utah State,MWC,11,2,0.846,7,1,0.875,47.5,22.2,9.58,-5.88,,14,22,"$13,245,614"
2019,Utah State,MWC,7,6,0.538,6,2,0.75,29.2,30.7,-1.93,-0.31,,,,"$13,542,312"
2020,Utah State,MWC,1,5,0.167,1,5,0.167,15.5,35.2,-19.38,-2.55,,,,"$12,056,252"
2021,Utah State,MWC,11,3,0.786,6,2,0.75,32.6,24.4,5.17,-3.04,,24,24,"$14,636,770"
2022,Utah State,MWC,6,7,0.462,5,3,0.625,22.2,31.2,-9.52,-4.06,,,,"$20,824,804"
2017,UTEP,CUSA,0,12,0,0,8,0,11.8,36.8,-23.75,-3.67,,,,"$12,328,422"
2018,UTEP,CUSA,1,11,0.083,1,7,0.125,17.7,32.8,-22.88,-8.46,,,,"$12,048,022"
2019,UTEP,CUSA,1,11,0.083,0,8,0,19.6,35.9,-23.1,-8.52,,,,"$9,758,684"
2020,UTEP,CUSA,3,5,0.375,0,4,0,23,31,-15.29,-11.41,,,,"$8,759,177"
2021,UTEP,CUSA,7,6,0.538,4,4,0.5,25.1,25.2,-5.3,-5.61,,,,"$11,806,863"
2022,UTEP,CUSA,5,7,0.417,3,5,0.375,24.4,27,-9.15,-6.48,,,,"$11,564,406"
2017,UTSA,CUSA,6,5,0.545,3,5,0.375,23.5,17,-5.78,-10.33,,,,"$9,795,011"
2018,UTSA,CUSA,3,9,0.25,2,6,0.25,14.2,31.2,-16.4,-4.4,,,,"$11,447,413"
2019,UTSA,CUSA,4,8,0.333,3,5,0.375,20.3,33.9,-14.08,-5.08,,,,"$10,150,720"
2020,UTSA,CUSA,7,5,0.583,5,2,0.714,28.3,25.7,-3.8,-6.71,,,,"$11,023,405"
